page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
  60   676 smask     308   256  gray    1   8  image  no       925  0   528   523 1633B 2.1%
  60   677 image     308   256  icc     3   8  image  no       926  0   528   523 9227B 3.9%
  60   678 smask     308   256  gray    1   8  image  no       926  0   528   523 1633B 2.1%
  61   679 image    1488  2105  icc     3   8  jpeg   no       932  0   123   124  238K 2.6%
  61   680 image    1704  2348  icc     3   8  image  no       933  0   216   215 22.6K 0.2%
  61   681 smask    1704  2348  gray    1   8  image  no       933  0   216   215 23.6K 0.6%
  61   682 image     652   651  icc     3   8  image  no       934  0   703   702 15.9K 1.3%
  61   683 smask     652   651  gray    1   8  image  no       934  0   703   702 49.6K  12%
  61   684 image     395   394  icc     3   8  image  no       935  0   426   425 22.2K 4.9%
  61   685 smask     395   394  gray    1   8  image  no       935  0   426   425 35.5K  23%
  61   686 image     308   256  icc     3   8  image  no       936  0   528   523 10.2K 4.4%
  61   687 smask     308   256  gray    1   8  image  no       936  0   528   523 1633B 2.1%
  61   688 image     308   256  icc     3   8  image  no       937  0   528   523 9227B 3.9%
  61   689 smask     308   256  gray    1   8  image  no       937  0   528   523 1633B 2.1%
  62   690 image    1488  2105  icc     3   8  jpeg   no       943  0   123   124  238K 2.6%
  62   691 image    1704  2348  icc     3   8  image  no       944  0   216   215 22.6K 0.2%
  62   692 smask    1704  2348  gray    1   8  image  no       944  0   216   215 23.6K 0.6%
  62   693 image     652   651  icc     3   8  image  no       945  0   703   702 15.9K 1.3%
  62   694 smask     652   651  gray    1   8  image  no       945  0   703   702 49.6K  12%
  62   695 image     395   394  icc     3   8  image  no       946  0   426   425 22.2K 4.9%
  62   696 smask     395   394  gray    1   8  image  no       946  0   426   425 35.5K  23%
  62   697 image     308   256  icc     3   8  image  no       947  0   528   523 10.2K 4.4%
  62   698 smask     308   256  gray    1   8  image  no       947  0   528   523 1633B 2.1%
  62   699 image     308   256  icc     3   8  image  no       948  0   528   523 9227B 3.9%
  62   700 smask     308   256  gray    1   8  image  no       948  0   528   523 1633B 2.1%
  63   701 image    1488  2105  icc     3   8  jpeg   no       954  0   123   124  238K 2.6%
  63   702 image    1704  2348  icc     3   8  image  no       955  0   216   215 22.6K 0.2%
  63   703 smask    1704  2348  gray    1   8  image  no       955  0   216   215 23.6K 0.6%
  63   704 image     652   651  icc     3   8  image  no       956  0   703   702 15.9K 1.3%
  63   705 smask     652   651  gray    1   8  image  no       956  0   703   702 49.6K  12%
  63   706 image     395   394  icc     3   8  image  no       957  0   426   425 22.2K 4.9%
  63   707 smask     395   394  gray    1   8  image  no       957  0   426   425 35.5K  23%
  63   708 image     308   256  icc     3   8  image  no       958  0   528   523 10.2K 4.4%
  63   709 smask     308   256  gray    1   8  image  no       958  0   528   523 1633B 2.1%
  63   710 image     308   256  icc     3   8  image  no       959  0   528   523 9227B 3.9%
  63   711 smask     308   256  gray    1   8  image  no       959  0   528   523 1633B 2.1%
  64   712 image    1488  2105  icc     3   8  jpeg   no       965  0   123   124  238K 2.6%
  64   713 image    1704  2348  icc     3   8  image  no       966  0   216   215 22.6K 0.2%
  64   714 smask    1704  2348  gray    1   8  image  no       966  0   216   215 23.6K 0.6%
  64   715 image     652   651  icc     3   8  image  no       967  0   703   702 15.9K 1.3%
  64   716 smask     652   651  gray    1   8  image  no       967  0   703   702 49.6K  12%
  64   717 image     395   394  icc     3   8  image  no       968  0   426   425 22.2K 4.9%
  64   718 smask     395   394  gray    1   8  image  no       968  0   426   425 35.5K  23%
  64   719 image     308   256  icc     3   8  image  no       969  0   528   523 10.2K 4.4%
  64   720 smask     308   256  gray    1   8  image  no       969  0   528   523 1633B 2.1%
  64   721 image     308   256  icc     3   8  image  no       970  0   528   523 9227B 3.9%
  64   722 smask     308   256  gray    1   8  image  no       970  0   528   523 1633B 2.1%
  66   723 image    1488  2105  icc     3   8  jpeg   no       984  0   123   124  238K 2.6%
  66   724 image    1704  2348  icc     3   8  image  no       985  0   216   215 22.6K 0.2%
  66   725 smask    1704  2348  gray    1   8  image  no       985  0   216   215 23.6K 0.6%
  66   726 image     652   651  icc     3   8  image  no       986  0   703   702 15.9K 1.3%
  66   727 smask     652   651  gray    1   8  image  no       986  0   703   702 49.6K  12%
  66   728 image     395   394  icc     3   8  image  no       987  0   426   425 22.2K 4.9%
  66   729 smask     395   394  gray    1   8  image  no       987  0   426   425 35.5K  23%
  66   730 image     308   256  icc     3   8  image  no       988  0   528   523 10.2K 4.4%
  66   731 smask     308   256  gray    1   8  image  no       988  0   528   523 1633B 2.1%
  66   732 image     308   256  icc     3   8  image  no       989  0   528   523 9227B 3.9%
  66   733 smask     308   256  gray    1   8  image  no       989  0   528   523 1633B 2.1%
  67   734 image    1488  2105  icc     3   8  jpeg   no       995  0   123   124  238K 2.6%
  67   735 image    1704  2348  icc     3   8  image  no       996  0   216   215 22.6K 0.2%
  67   736 smask    1704  2348  gray    1   8  image  no       996  0   216   215 23.6K 0.6%
  67   737 image     652   651  icc     3   8  image  no       997  0   703   702 15.9K 1.3%
  67   738 smask     652   651  gray    1   8  image  no       997  0   703   702 49.6K  12%
  67   739 image     395   394  icc     3   8  image  no       998  0   426   425 22.2K 4.9%
  67   740 smask     395   394  gray    1   8  image  no       998  0   426   425 35.5K  23%
  67   741 image     308   256  icc     3   8  image  no       999  0   528   523 10.2K 4.4%
  67   742 smask     308   256  gray    1   8  image  no       999  0   528   523 1633B 2.1%
  67   743 image     308   256  icc     3   8  image  no      1000  0   528   523 9227B 3.9%
  67   744 smask     308   256  gray    1   8  image  no      1000  0   528   523 1633B 2.1%
  68   745 image    1488  2105  icc     3   8  jpeg   no      1006  0   123   124  238K 2.6%
  68   746 image    1704  2348  icc     3   8  image  no      1007  0   216   215 22.6K 0.2%
  68   747 smask    1704  2348  gray    1   8  image  no      1007  0   216   215 23.6K 0.6%
  68   748 image     652   651  icc     3   8  image  no      1008  0   703   702 15.9K 1.3%
  68   749 smask     652   651  gray    1   8  image  no      1008  0   703   702 49.6K  12%
  68   750 image     395   394  icc     3   8  image  no      1009  0   426   425 22.2K 4.9%
  68   751 smask     395   394  gray    1   8  image  no      1009  0   426   425 35.5K  23%
  68   752 image     308   256  icc     3   8  image  no      1010  0   528   523 10.2K 4.4%
  68   753 smask     308   256  gray    1   8  image  no      1010  0   528   523 1633B 2.1%
  68   754 image     308   256  icc     3   8  image  no      1011  0   528   523 9227B 3.9%
  68   755 smask     308   256  gray    1   8  image  no      1011  0   528   523 1633B 2.1%
  69   756 image    1488  2105  icc     3   8  jpeg   no      1017  0   123   124  238K 2.6%
  69   757 image    1704  2348  icc     3   8  image  no      1018  0   216   215 22.6K 0.2%
  69   758 smask    1704  2348  gray    1   8  image  no      1018  0   216   215 23.6K 0.6%
  69   759 image     652   651  icc     3   8  image  no      1019  0   703   702 15.9K 1.3%
  69   760 smask     652   651  gray    1   8  image  no      1019  0   703   702 49.6K  12%
  69   761 image     395   394  icc     3   8  image  no      1020  0   426   425 22.2K 4.9%
  69   762 smask     395   394  gray    1   8  image  no      1020  0   426   425 35.5K  23%
  69   763 image     308   256  icc     3   8  image  no      1021  0   528   523 10.2K 4.4%
  69   764 smask     308   256  gray    1   8  image  no      1021  0   528   523 1633B 2.1%
  69   765 image     308   256  icc     3   8  image  no      1022  0   528   523 9227B 3.9%
  69   766 smask     308   256  gray    1   8  image  no      1022  0   528   523 1633B 2.1%
  70   767 image    1488  2105  icc     3   8  jpeg   no      1028  0   123   124  238K 2.6%
  70   768 image    1704  2348  icc     3   8  image  no      1029  0   216   215 22.6K 0.2%
  70   769 smask    1704  2348  gray    1   8  image  no      1029  0   216   215 23.6K 0.6%
  70   770 image     652   651  icc     3   8  image  no      1030  0   703   702 15.9K 1.3%
  70   771 smask     652   651  gray    1   8  image  no      1030  0   703   702 49.6K  12%
  70   772 image     395   394  icc     3   8  image  no      1031  0   426   425 22.2K 4.9%
  70   773 smask     395   394  gray    1   8  image  no      1031  0   426   425 35.5K  23%
  70   774 image     308   256  icc     3   8  image  no      1032  0   528   523 10.2K 4.4%
  70   775 smask     308   256  gray    1   8  image  no      1032  0   528   523 1633B 2.1%
  70   776 image     308   256  icc     3   8  image  no      1033  0   528   523 9227B 3.9%
  70   777 smask     308   256  gray    1   8  image  no      1033  0   528   523 1633B 2.1%
  71   778 image    1600  1600  icc     3   8  jpeg   no      1039  0   134   134  347K 4.6%
  71   779 image     475    69  icc     3   8  image  no      1040  0   185   189  118B 0.1%
  71   780 smask     475    69  gray    1   8  image  no      1040  0   185   189 6816B  21%
